VAL_ALTURA;COD_ID_CABO;COD_ID_PART_CABO;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;COD_ESTRUTURA_FIM_SAP;COD_LT_SAP;NUM_ALTITUDE_PTO_MEDIO_VAO;NUM_LONGITUDE_PTO_MEDIO_VAO;NUM_ALTITUDE_ORT_CB_MED;NUM_ALTITUDE_GEO_CB_ME;VAL_DISTANCIA_PTO_MEDIO;NUM_LATITUDE_PT_MI_VAO;NUM_LONGITUDE_PT_MI_VAO;NUM_ALTITUDE_ORT_CB_MI;NUM_ALTITUDE_GEO_CB_MI;VAL_DISTANCIA_PTO_MIN;NUM_LATITUDE_PT_MA_VAO;NUM_LONGITUDE_PT_MA_VAO;NUM_ALTITUDE_ORT_CB_MA;NUM_ALTITUDE_GEO_CB_MA;VAL_DISTANCIA_PTO_MAX;NUM_ID_SEQUENCIA;ID_CABO;NOM_LT_SAP;OBJECTID;TAG_ATIVO
;12489605;0;PORT00004-2;-19.12024056;-42.66726454;455.134;443.924;-19.12021818;-42.66781866;469.987;458.777;ESTR02868-8;MT-L-39610;-19.12022937;-42.6675416;355.52;344.31;31.46277576;-19.12024056;-42.66726454;355.0589905;343.8489905;20.95401001;-19.1202291;-42.66754829;355.9330139;344.7230139;31.38397217;0;25251;;6335324;1
;12489606;0;PORT00004-2;-19.12021546;-42.66726756;610.76;599.55;-19.12022707;-42.66781127;728.729;717.519;ESTR02868-8;MT-L-39610;-19.12022127;-42.66753941;355.414;344.204;22.15003272;-19.12022524;-42.66772542;371.5920105;360.3820105;12.64498901;-19.12022097;-42.66752581;354.9419861;343.7319861;22.1880188;0;25252;;6335325;1
;12489607;0;PORT00004-2;-19.12017983;-42.66727563;617.598;606.388;-19.12022711;-42.6678113;729.104;717.894;ESTR02868-8;MT-L-39610;-19.12020347;-42.66754347;355.482;344.272;24.43281438;-19.12017983;-42.66727563;355.0350037;343.8250037;15.33099365;-19.12020355;-42.66754438;355.4979858;344.2879858;24.45602417;0;25253;;6335326;1
;12489608;0;PORT00004-2;-19.12014445;-42.66728186;616.035;604.825;-19.12022627;-42.66780731;729.035;717.825;ESTR02868-8;MT-L-39610;-19.12018536;-42.66754459;355.358;344.148;26.7795199;-19.12014445;-42.66728186;355.1470032;343.9370032;14.96298218;-19.1201873;-42.66755703;355.855011;344.645011;26.95098877;0;25254;;6335327;1
;12489609;0;PORT00004-2;-19.12009128;-42.66729141;707.538;696.328;-19.12016913;-42.66785496;616.036;604.826;ESTR02868-8;MT-L-39610;-19.1201302;-42.66757318;356.163;344.953;21.42902075;-19.12015639;-42.66776276;373.322998;362.112998;10.79598999;-19.1201267;-42.66754783;354.8779907;343.6679907;21.94900513;0;25255;;6335328;1
;12489610;0;PORT00004-2;-19.12005552;-42.66729885;704.255;693.045;-19.1201692;-42.66785515;617.611;606.401;ESTR02868-8;MT-L-39610;-19.12011236;-42.667577;356.305;345.095;23.71911745;-19.12014823;-42.66775254;373.0100098;361.8000098;14.97097778;-19.12010937;-42.66756236;355.4509888;344.2409888;23.96902466;0;25256;;6335329;1
;12489611;0;PORT00004-2;-19.1200199;-42.66730595;710.43;699.22;-19.12016904;-42.66785527;610.78;599.57;ESTR02868-8;MT-L-39610;-19.12009447;-42.66758061;356.334;345.124;25.63360292;-19.1200199;-42.66730595;355.1260071;343.9160071;15.3039856;-19.12009054;-42.66756615;355.3089905;344.0989905;25.91000366;0;25257;;6335330;1
;12489612;0;ESTR02868-8;-19.12022054;-42.66783416;716.13;704.92;-19.1213936;-42.66846308;727.985;716.775;ESTR02867-0;MT-L-39610;-19.12080707;-42.66814862;356.021;344.811;52.05816589;-19.12025272;-42.66785142;373.7770081;362.5670081;30.04400635;-19.12068654;-42.668084;352.723999;341.513999;53.68899536;1;25258;;6335331;1
;12489613;0;ESTR02868-8;-19.12022992;-42.66782604;723.946;712.736;-19.12139757;-42.66845219;733.677;722.467;ESTR02867-0;MT-L-39610;-19.12081374;-42.66813911;355.55;344.34;47.40205474;-19.1202621;-42.66784329;373.644989;362.434989;24.97201538;-19.12069586;-42.6680759;352.3200073;341.1100073;48.98199463;1;25259;;6335332;1
;12489614;0;ESTR02868-8;-19.12022936;-42.66782652;719.398;708.188;-19.12139746;-42.66845249;730.133;718.923;ESTR02867-0;MT-L-39610;-19.12081341;-42.6681395;355.546;344.336;36.43038875;-19.12026155;-42.66784377;373.6520081;362.4420081;13.98300171;-19.12069537;-42.66807625;352.3420105;341.1320105;37.98098755;1;25260;;6335333;1
;12489615;0;ESTR02868-8;-19.12017645;-42.66787235;668.969;657.759;-19.12137304;-42.66851951;723.944;712.734;ESTR02867-0;MT-L-39610;-19.12077474;-42.66819593;358.371;347.161;33.46268016;-19.12133804;-42.66850058;392.1010132;380.8910132;12.55499268;-19.12070563;-42.66815855;355.5899963;344.3799963;35.26199341;1;25261;;6335334;1
;12489616;0;ESTR02868-8;-19.12017684;-42.66787202;457.176;445.966;-19.12137271;-42.66852042;469.465;458.255;ESTR02867-0;MT-L-39610;-19.12077477;-42.66819622;358.373;347.163;38.85469174;-19.12133772;-42.66850145;392.1239929;380.9139929;17.9960022;-19.12070576;-42.6681588;355.6029968;344.3929968;40.64599609;1;25262;;6335335;1
;12489617;0;ESTR02868-8;-19.12017671;-42.66787213;676.476;665.266;-19.1213727;-42.66852045;716.119;704.909;ESTR02867-0;MT-L-39610;-19.1207747;-42.66819629;358.372;347.162;44.34323707;-19.12133766;-42.66850146;392.125;380.915;23.48098755;-19.12070566;-42.66815886;355.6069946;344.3969946;46.13000488;1;25263;;6335336;1
;12489618;0;ESTR02867-0;-19.12139464;-42.66846023;672.188;660.978;-19.12554118;-42.6696058;719.385;708.175;ESTR02866-2;MT-L-39610;-19.12346791;-42.66903301;330.897;319.687;76.32015978;-19.1252612;-42.66952845;397.8970032;386.6870032;24.41900635;-19.12320582;-42.6689606;327.6730042;316.4630042;79.48400879;2;25264;;6335337;1
;12489619;0;ESTR02867-0;-19.12139879;-42.66844884;722.547;711.337;-19.1255467;-42.66959517;676.472;665.262;ESTR02866-2;MT-L-39610;-19.12347274;-42.669022;331.048;319.838;69.99734426;-19.12524667;-42.66951225;397.9689941;386.7589941;18.57699585;-19.12317646;-42.66894012;328.0339966;316.8239966;72.99499512;2;25265;;6335338;1
;12489620;0;ESTR02867-0;-19.12137341;-42.66851849;723.096;711.886;-19.12551347;-42.66965926;672.186;660.976;ESTR02866-2;MT-L-39610;-19.12344344;-42.66908887;330.399;319.189;65.46766997;-19.12529148;-42.66959809;396.9500122;385.7400122;15.42700195;-19.12327169;-42.66904155;328.2420044;317.0320044;67.5329895;2;25266;;6335339;1
;12489621;0;ESTR02867-0;-19.12137334;-42.66851868;723.636;712.426;-19.12551342;-42.66965935;668.969;657.759;ESTR02866-2;MT-L-39610;-19.12344338;-42.66908901;330.397;319.187;60.34310658;-19.12529198;-42.66959833;396.9530029;385.7430029;10.00900269;-19.12327192;-42.66904177;328.25;317.04;62.39599609;2;25267;;6335340;1
;12489622;0;ESTR02867-0;-19.12137336;-42.66851863;705.447;694.237;-19.12551307;-42.66966002;723.115;711.905;ESTR02866-2;MT-L-39610;-19.12344322;-42.66908932;330.393;319.183;70.8912771;-19.12529114;-42.66959883;396.9630127;385.7530127;20.9039917;-19.12327149;-42.66904197;328.2569885;317.0469885;72.93600464;2;25268;;6335341;1
;12489623;0;ESTR02867-0;-19.12139876;-42.6684489;706.578;695.368;-19.12554699;-42.6695946;722.533;711.323;ESTR02866-2;MT-L-39610;-19.12347288;-42.66902175;331.056;319.846;64.74679853;-19.12524714;-42.66951178;397.9849854;386.7749854;13.14700317;-19.12317658;-42.66893991;328.0280151;316.8180151;67.75299072;2;25269;;6335342;1
;12489624;0;ESTR02867-0;-19.12139858;-42.6684494;703.493;692.283;-19.1255471;-42.66959438;723.625;712.415;ESTR02866-2;MT-L-39610;-19.12347284;-42.66902189;331.053;319.843;59.57710338;-19.12524758;-42.66951172;397.9890137;386.7790137;7.730987549;-19.12317652;-42.6689401;328.0329895;316.8229895;62.56900024;2;25270;;6335343;1
;12489625;0;ESTR02866-2;-19.12554101;-42.66960615;641.158;629.948;-19.12792613;-42.67190154;703.494;692.284;ESTR02865-4;MT-L-39610;-19.12673357;-42.67075383;385.069;373.859;40.86806224;-19.12785321;-42.67183135;415.4869995;404.2769995;27.33300781;-19.12723162;-42.67123314;372.7340088;361.5240088;58.58999634;3;25271;;6335344;1
;12489626;0;ESTR02866-2;-19.12554661;-42.66959533;645.373;634.163;-19.12793342;-42.67189315;705.449;694.239;ESTR02865-4;MT-L-39610;-19.12674002;-42.67074423;384.943;373.733;34.7671571;-19.12785888;-42.67182139;415.553009;404.343009;20.23498535;-19.12722379;-42.67120996;371.67099;360.46099;52.86199951;3;25272;;6335345;1
